Executando para B com 1-8 threads 5 vezes:
1 threads,2 threads,3 threads,4 threads,5 threads,6 threads,7 threads,8 threads
13.705076,8.075530,6.298217,5.304550,4.613663,4.114663,3.707895,3.427497,
13.818317,8.180335,6.104060,5.400149,4.763019,4.113207,3.727852,3.744519,
13.864206,8.185592,6.049228,5.403838,4.900487,4.228095,3.704397,3.493867,
13.980498,8.168106,6.099669,5.283055,4.689153,4.142582,3.717502,3.449871,
13.922238,8.274369,6.086038,5.250532,4.661734,4.137647,3.745266,3.469516,
