64,1054.4422,2329.8181,2340.9389,3658.5962,3063.7336,3847.5058
100,1428.4766,2784.6496,2300.0741,3618.6552,3246.6053,4075.2345
128,1601.1053,3185.5953,1716.8485,2963.8388,2209.9346,3597.1847
200,1703.2663,3284.0354,1957.8972,3123.5904,3014.2684,3722.7668
256,1751.8504,3353.4987,1125.8968,1923.3386,2094.1990,2956.7560
512,1847.9858,3422.9909,893.0736,1777.7915,1359.5526,2521.1863
600,1864.7725,3420.0225,1884.2240,2274.7941,3041.5338,3659.6864
900,1877.9912,3534.2913,1587.2852,2308.9999,3122.8187,3649.3201
1024,1874.6751,3426.6527,674.3196,1388.2509,1347.3294,2428.0511
2000,1856.7999,3668.9130,1232.4653,1870.9017,2859.3093,3623.1523
2048,1846.4332,3329.5845,312.7594,697.1572,1301.4442,2204.1149
3000,1840.9491,3604.2159,1225.9384,1607.8243,3003.7129,3542.7306
4000,1832.8772,3669.0921,1033.2847,1147.1970,2497.5722,3304.1680
5000,1814.0064,3696.0202,1198.8200,1478.5279,2957.0615,3528.8973
6000,1830.4691,3739.9480,1039.1942,1556.4679,2783.3294,3465.3648
10000,1833.8512,3755.6287,951.1345,1262.1992,2620.8816,3186.9846
