64,0.3260,0.2752,0.0429,0.0809,0.1555,0.1569
100,0.3270,0.2843,0.0715,0.0566,0.1424,0.1368
128,0.3300,0.2946,0.0857,0.1005,0.1224,0.1275
200,0.3133,0.3216,0.4121,0.2298,0.2649,0.2379
256,0.3026,0.2935,0.4522,0.3816,0.1392,0.1453
512,0.2965,0.3251,0.4914,0.4349,0.1294,0.2307
600,0.2971,0.2950,0.1080,0.3709,0.4054,0.3930
900,0.3001,0.2924,0.1021,0.3311,0.3672,0.3731
1024,0.3029,0.2832,0.3673,0.3669,0.1154,0.2231
2000,0.3032,0.2876,0.2037,0.4161,0.3688,0.3762
2048,0.2992,0.3009,0.3254,0.3220,0.1161,0.2199
3000,0.2439,0.2916,0.2511,0.4052,0.3796,0.3768
4000,0.2454,0.3045,0.4614,0.4199,0.3936,0.3797
5000,0.2468,0.3117,0.4344,0.4012,0.3793,0.3767
6000,0.2459,0.3134,0.4383,0.4122,0.3600,0.3617
10000,0.2469,0.3181,0.4316,1,-,-
