64,18171.9379,21114.8434,807.1678,1039.4003,866.0265,1106.1600
100,4096.6783,4805.6695,143.9013,279.0154,257.1046,353.7310
128,12640.3172,18845.4725,16158.6873,9216.1911,808.8294,1391.4827
200,3389.0893,4413.2945,2650.5365,8183.5405,981.2603,1430.5782
256,13611.7000,16054.8075,63185.1685,36391.2082,3967.6056,5706.2638
512,3551.9116,4269.6891,51268.6183,42095.2935,5337.4650,9261.2257
600,14186.7393,14265.0081,14193.0018,37884.7013,4115.9815,5679.7652
900,6770.8210,12023.4405,8155.0602,23852.6487,3249.4417,3590.1722
1024,13249.5633,25763.2810,15707.2305,23144.9262,4952.7253,10130.0989
2000,14516.7011,28715.2874,18750.3530,37884.0475,2994.5723,3592.4479
2048,14174.6063,24973.6149,11715.0163,22822.5379,5831.8201,10092.0889
3000,5019.5633,19856.6283,20465.7679,29383.5028,3164.0943,3822.7910
4000,14505.7961,30731.9824,38268.8755,nil,0,0
5000,14547.7411,30911.8196,nil,0,0,0
6000,14637.3765,31547.3536,5.638802e+12,0,0,0
10000,12266.1196,31594.0202,1.089179e+12,0,0,0
