64,0.00362600,0.00242200,0.22212201,0.14235601,0.19776699,0.13292201
100,0.00966100,0.00587100,0.90083599,0.60182899,0.70035300,0.46881901
128,0.01689400,0.00923701,2.47065400,1.49503000,2.23311400,1.23479900
200,0.04237400,0.02181400,8.20366299,5.19540399,6.01473400,4.19081600
256,0.06956799,0.03814499,30.03690399,17.80977799,20.11583801,11.80967800
512,0.27914000,0.15244401,303.55993401,151.36374700,225.99382301,105.08027799
600,0.38020301,0.20941499,243.47807500,182.64664301,162.81471701,114.76307499
900,0.85936099,0.45956801,944.42201699,648.28470701,533.97979100,386.18951200
1024,1.12388599,0.62979400,3148.33398901,1566.31303601,1800.95901000,881.18033199
2000,4.32999000,2.20522600,13209.22070700,8419.68389300,6421.68877900,4267.22788200
2048,4.51879600,2.65932401,55064.41709399,24470.80662300,16520.25544100,8854.51265700
3000,9.79917601,4.90833400,43973.18003300,33653.10073000,20417.53230800,14363.56515200
4000,17.47816099,8.83660801,124308.08705100,111925.27552700,56737.42721699,36595.30302100
5000,27.48636299,13.42486700,207970.87693101,169691.67051999,95461.34276700,67944.90001900
6000,39.36674599,19.28077400,414725.63518800,271051.57855600,176520.67533100,119077.38389400
