64,0.00329499,0.00244600,0.22220100,0.14232999,0.19763300,0.13285500
100,0.00957599,0.00577000,0.90706600,0.55144201,0.70000300,0.46863601
128,0.01657701,0.00905101,2.48963700,1.41826500,2.01324901,1.19890399
200,0.04201600,0.02386400,8.14563799,5.26779701,6.04750399,4.19841300
256,0.07053600,0.03745599,29.70285900,17.57586500,20.31536500,12.20142500
512,0.27937499,0.15472400,302.16277100,151.56628200,226.01439200,108.89352000
600,0.38215099,0.20933901,239.70611700,195.32245000,163.49556501,114.21461600
900,0.87245400,0.45707200,921.36433899,641.17006600,532.75783001,385.98856299
1024,1.17858700,0.60923800,5220.95312500,2593.45198299,1815.31406400,889.43738300
2000,4.34685799,2.22351001,13173.48606700,8443.05097599,6445.02001500,4256.74210601
2048,4.54749100,2.62834300,55739.94576600,24669.29482900,16429.55536200,8783.72869700
3000,9.77870400,4.94658300,44050.33216000,33747.06009801,20442.60788400,14397.41768000
4000,17.61405200,8.77589200,123796.65232900,111208.49970199,56871.44823900,36654.58469300
5000,27.37170300,13.46666700,207555.00231500,167229.59495001,95479.60483900,67892.23538899
6000,39.47370200,19.30644000,414884.29983300,277247.69463900,176686.09593800,119068.51650399
10000,110.32128100,53.78312899,2107530.48281400,1593450.02609299,822109.13671300,557153.30406800
