64,17548.3929,23072.5342,2148.7152,2191.7086,974.4194,1507.0801
100,14125.9890,19766.5198,454.5257,646.8285,573.7195,843.6310
128,14244.4915,19434.9041,549.8969,616.5603,733.6020,1240.3530
200,13298.6978,17373.3545,5365.8596,11090.3182,778.7777,1234.9083
256,13708.5386,16584.3906,63345.5483,36836.7236,3237.7121,4385.3598
512,14443.5905,16629.6571,48922.2543,39405.4182,8851.7182,8012.8849
600,12213.7200,14814.5729,13988.6475,36183.9015,1698.1467,2711.7437
900,14841.5790,20401.3077,8144.7643,24573.2671,1282.9155,1726.5814
1024,14913.6567,24519.0840,15513.3271,23045.6955,7234.5482,8229.1134
2000,14650.7231,29307.6980,18971.3867,38263.1755,985.2084,1619.2502
2048,14850.8774,25582.1627,11868.0413,23405.2334,57982.1486,48151.6252
3000,14719.1765,29228.2332,20687.7486,29292.3821,1022.3964,1636.5138
4000,14671.8433,30282.6951,38492.2025,26406.8962,2385.9963,4189.9990
5000,14578.2168,30817.3524,46773.1167,25779.7449,993.4496,1587.9473
6000,14616.6617,31760.7992,38923.0037,29798.3890,1051.7691,1882.1578
10000,16075.0815,31242.6401,38055.0812,23662.7753,1436.5297,2379.6576
