64,871.5132,1906.5535,2183.0672,3998.8860,1849.1944,3139.6450
100,913.4950,2092.8879,1768.1687,3023.3117,1616.1729,2435.4462
128,1199.4165,2459.8413,2054.0391,3939.3262,2099.4655,3165.3851
200,948.7825,3474.3536,2399.3764,3691.9948,2057.4750,3105.2955
256,1879.1643,3694.9836,2825.5114,3174.0643,2731.2881,2989.7597
512,1547.5929,2872.3783,2920.8742,3478.6205,2612.7445,2956.6215
600,1600.0901,3133.7780,2664.0467,3279.7189,2112.1438,3124.5323
900,1897.3550,3262.4752,2432.3496,3519.3946,2090.5792,3122.5837
1024,1839.3496,3879.6242,2934.5875,3462.1080,2615.5764,2903.8331
2000,1823.5645,3010.1288,1625.3215,1390.4389,2052.0317,2824.7040
2048,1849.3254,3248.3540,1724.7144,878.5426,2763.6054,2446.3950
